SUBJECTID,age,emotion,ACTOR,presentNumber,meanAmpNC
01,youngerAgeGroup,B,1,1,-5.335
01,youngerAgeGroup,B,1,2,-0.096
01,youngerAgeGroup,B,1,3,-5.762
01,youngerAgeGroup,B,1,4,-1.863
01,youngerAgeGroup,B,1,5,-6.658
01,youngerAgeGroup,B,1,6,-3.618
01,youngerAgeGroup,B,1,7,1.826
01,youngerAgeGroup,B,1,8,26.687
01,youngerAgeGroup,B,1,9,-1.059
01,youngerAgeGroup,B,1,10,9.137
01,youngerAgeGroup,B,2,1,10.481
01,youngerAgeGroup,B,2,2,7.988
01,youngerAgeGroup,B,2,3,6.234
01,youngerAgeGroup,B,2,4,4.355
01,youngerAgeGroup,B,2,5,1.834
01,youngerAgeGroup,B,2,6,4.369
01,youngerAgeGroup,B,2,7,23.867
01,youngerAgeGroup,B,2,8,14.726
01,youngerAgeGroup,B,2,9,31.076
01,youngerAgeGroup,B,2,10,12.949
01,youngerAgeGroup,B,3,1,-4.769
01,youngerAgeGroup,B,3,2,0.82
01,youngerAgeGroup,B,3,3,5.779
01,youngerAgeGroup,B,3,4,10.883
01,youngerAgeGroup,B,3,5,9.74
01,youngerAgeGroup,B,3,6,12.939
01,youngerAgeGroup,B,3,7,7.716
01,youngerAgeGroup,B,3,8,11.201
01,youngerAgeGroup,B,3,9,8.779
01,youngerAgeGroup,B,3,10,14.514
01,youngerAgeGroup,B,4,1,21.219
01,youngerAgeGroup,B,4,2,25.742
01,youngerAgeGroup,B,4,3,11.18
01,youngerAgeGroup,B,4,4,12.412
01,youngerAgeGroup,B,4,5,24.125
01,youngerAgeGroup,B,4,6,24.039
01,youngerAgeGroup,B,4,7,29.44
01,youngerAgeGroup,B,4,8,32.535
01,youngerAgeGroup,B,4,9,30.986
01,youngerAgeGroup,B,4,10,36.138
01,youngerAgeGroup,B,5,1,-0.607
01,youngerAgeGroup,B,5,2,10.394
01,youngerAgeGroup,B,5,3,14.84
01,youngerAgeGroup,B,5,4,14.088
01,youngerAgeGroup,B,5,5,22.338
01,youngerAgeGroup,B,5,6,30.878
01,youngerAgeGroup,B,5,7,23.872
01,youngerAgeGroup,B,5,8,28.576
01,youngerAgeGroup,B,5,9,28.369
01,youngerAgeGroup,B,5,10,30.689
01,youngerAgeGroup,A,1,1,-15.344
01,youngerAgeGroup,A,1,2,6.337
01,youngerAgeGroup,A,1,3,-9.065
01,youngerAgeGroup,A,1,4,-1.789
01,youngerAgeGroup,A,1,5,-3.095
01,youngerAgeGroup,A,1,6,-0.401
01,youngerAgeGroup,A,1,7,11.043
01,youngerAgeGroup,A,1,8,-7.569
01,youngerAgeGroup,A,1,9,3.951
01,youngerAgeGroup,A,1,10,15.711
01,youngerAgeGroup,A,2,1,-10.959
01,youngerAgeGroup,A,2,2,6.126
01,youngerAgeGroup,A,2,3,9.268
01,youngerAgeGroup,A,2,4,14.575
01,youngerAgeGroup,A,2,5,11.118
01,youngerAgeGroup,A,2,6,10.511
01,youngerAgeGroup,A,2,7,13.616
01,youngerAgeGroup,A,2,8,27.4
01,youngerAgeGroup,A,2,9,14.003
01,youngerAgeGroup,A,2,10,22.079
01,youngerAgeGroup,A,3,1,-5.337
01,youngerAgeGroup,A,3,2,4.27
01,youngerAgeGroup,A,3,3,9.731
01,youngerAgeGroup,A,3,4,17.886
01,youngerAgeGroup,A,3,5,8.985
01,youngerAgeGroup,A,3,6,18.168
01,youngerAgeGroup,A,3,7,11.338
01,youngerAgeGroup,A,3,8,9.642
01,youngerAgeGroup,A,3,9,10.515
01,youngerAgeGroup,A,3,10,19.719
01,youngerAgeGroup,A,4,1,19.819
01,youngerAgeGroup,A,4,2,33.15
01,youngerAgeGroup,A,4,3,24.315
01,youngerAgeGroup,A,4,4,37.248
01,youngerAgeGroup,A,4,5,28.312
01,youngerAgeGroup,A,4,6,31.871
01,youngerAgeGroup,A,4,7,42.709
01,youngerAgeGroup,A,4,8,32.954
01,youngerAgeGroup,A,4,9,41.197
01,youngerAgeGroup,A,4,10,21.405
01,youngerAgeGroup,A,5,1,14.832
01,youngerAgeGroup,A,5,2,18.1
01,youngerAgeGroup,A,5,3,16.165
01,youngerAgeGroup,A,5,4,27.065
01,youngerAgeGroup,A,5,5,18.92
01,youngerAgeGroup,A,5,6,17.002
01,youngerAgeGroup,A,5,7,30.321
01,youngerAgeGroup,A,5,8,25.81
01,youngerAgeGroup,A,5,9,44.636
01,youngerAgeGroup,A,5,10,26.171
02,youngerAgeGroup,B,1,1,-5.865
02,youngerAgeGroup,B,1,2,-16.599
02,youngerAgeGroup,B,1,3,-11.979
02,youngerAgeGroup,B,1,4,-3.202
02,youngerAgeGroup,B,1,5,-14.488
02,youngerAgeGroup,B,1,6,-8.964
02,youngerAgeGroup,B,1,7,-0.164
02,youngerAgeGroup,B,1,8,-20.615
02,youngerAgeGroup,B,1,9,-2.877
02,youngerAgeGroup,B,1,10,-5.027
02,youngerAgeGroup,B,2,1,-5.484
02,youngerAgeGroup,B,2,2,-11.917
02,youngerAgeGroup,B,2,3,1.045
02,youngerAgeGroup,B,2,4,1.773
02,youngerAgeGroup,B,2,5,11.194
02,youngerAgeGroup,B,2,6,-0.664
02,youngerAgeGroup,B,2,7,-7.437
02,youngerAgeGroup,B,2,8,2.992
02,youngerAgeGroup,B,2,9,12.022
02,youngerAgeGroup,B,2,10,-0.502
02,youngerAgeGroup,B,3,1,-10.142
02,youngerAgeGroup,B,3,2,-1.733
02,youngerAgeGroup,B,3,3,-11.531
02,youngerAgeGroup,B,3,4,-12.135
02,youngerAgeGroup,B,3,5,-8.86
02,youngerAgeGroup,B,3,6,-13.223
02,youngerAgeGroup,B,3,7,-7.912
02,youngerAgeGroup,B,3,8,4.096
02,youngerAgeGroup,B,3,9,-3.395
02,youngerAgeGroup,B,3,10,0.031
02,youngerAgeGroup,B,4,1,25.625
02,youngerAgeGroup,B,4,2,30.232
02,youngerAgeGroup,B,4,3,15.513
02,youngerAgeGroup,B,4,4,19.264
02,youngerAgeGroup,B,4,5,11.628
02,youngerAgeGroup,B,4,6,2.387
02,youngerAgeGroup,B,4,7,14.185
02,youngerAgeGroup,B,4,8,18.935
02,youngerAgeGroup,B,4,9,33.549
02,youngerAgeGroup,B,4,10,41.481
02,youngerAgeGroup,B,5,1,17.314
02,youngerAgeGroup,B,5,2,10.947
02,youngerAgeGroup,B,5,3,16.422
02,youngerAgeGroup,B,5,4,12.769
02,youngerAgeGroup,B,5,5,3.238
02,youngerAgeGroup,B,5,6,1.649
02,youngerAgeGroup,B,5,7,21.999
02,youngerAgeGroup,B,5,8,23.735
02,youngerAgeGroup,B,5,9,29.821
02,youngerAgeGroup,B,5,10,24.393
02,youngerAgeGroup,A,1,1,-18.399
02,youngerAgeGroup,A,1,2,-21.948
02,youngerAgeGroup,A,1,3,-13.008
02,youngerAgeGroup,A,1,4,-7.672
02,youngerAgeGroup,A,1,5,-3.127
02,youngerAgeGroup,A,1,6,-8.78
02,youngerAgeGroup,A,1,7,-14.647
02,youngerAgeGroup,A,1,8,5.17
02,youngerAgeGroup,A,1,9,-22.883
02,youngerAgeGroup,A,1,10,-9.253
02,youngerAgeGroup,A,2,1,-1.269
02,youngerAgeGroup,A,2,2,1.115
02,youngerAgeGroup,A,2,3,-11.853
02,youngerAgeGroup,A,2,4,9.85
02,youngerAgeGroup,A,2,5,-6.267
02,youngerAgeGroup,A,2,6,2.814
02,youngerAgeGroup,A,2,7,8.802
02,youngerAgeGroup,A,2,8,5.544
02,youngerAgeGroup,A,2,9,1.737
02,youngerAgeGroup,A,2,10,13.61
02,youngerAgeGroup,A,3,1,-15.269
02,youngerAgeGroup,A,3,2,-4.512
02,youngerAgeGroup,A,3,3,4.452
02,youngerAgeGroup,A,3,4,-6.363
02,youngerAgeGroup,A,3,5,7.813
02,youngerAgeGroup,A,3,6,-9.099
02,youngerAgeGroup,A,3,7,6.1
02,youngerAgeGroup,A,3,8,9.103
02,youngerAgeGroup,A,3,9,8.393
02,youngerAgeGroup,A,3,10,13.198
02,youngerAgeGroup,A,4,1,14.684
02,youngerAgeGroup,A,4,2,14.656
02,youngerAgeGroup,A,4,3,1.331
02,youngerAgeGroup,A,4,4,13.648
02,youngerAgeGroup,A,4,5,11.99
02,youngerAgeGroup,A,4,6,17.35
02,youngerAgeGroup,A,4,7,27.654
02,youngerAgeGroup,A,4,8,16.97
02,youngerAgeGroup,A,4,9,12.973
02,youngerAgeGroup,A,4,10,14.481
